GL1,TTG1,TRY,GL3,G3-G1,G3-T1,G3-TRY,G3-G3,G3-G1-T1,G3-T1-TRY,G1-G3-G3,T1-G3-G3,TRY-G3-G3,T1-G1-G3-G3,TRY-T1-G3-G3,G1-G3-G3-T1,G1-G3-G3-TRY,T1-G3-G3-TRY,G1-G3-G3-G1,T1-G3-G3-T1,TRY-G3-G3-TRY,G1-T1-G3-G3-G1,G1-T1-G3-G3-T1,G1-G3-G3-T1-TRY,G1-T1-G3-G3-TRY,T1-TRY-G3-G3-TRY,TRY-T1-G3-G3-T1,G1-T1-G3-G3-T1-G1,T1-TRY-G3-G3-TRY-T1,G1-T1-G3-G3-T1-TRY
4,0,0.25,1,51.82,8.10E-18,0.72583,0.87058,2.04E-17,7.08E-19,10.96,1.71E-18,0.15352,4.31E-18,1.47E-19,1.07E-17,0.96636,1.51E-19,34.496,8.40E-37,0.0067678,2.71E-17,4.23E-36,9.00E-19,3.80E-19,1.32E-20,1.47E-37,5.33E-36,6.49E-39,3.66E-37
0,0.25,0.25,1,0,11.487,5.9486,55.791,0,0.78986,0,14.816,7.6727,0,1.0188,0,0,1.0188,0,0.98364,0.2638,0,0,0,0,0.070055,0.13528,0,0.004651,0
0.25,0.25,0.25,1,13.029,8.9272,4.6178,35.078,0.73082,0.63807,14.181,9.7216,5.0203,0.78734,0.69474,1.9583,1.0116,0.69577,1.4348,0.6737,0.17965,0.15915,0.10889,0.13362,0.056207,0.049757,0.096381,0.0044162,0.0034476,0.007655
1,0.25,0.25,1,32.873,4.7757,2.4665,10.321,2.0265,0.37341,21.732,3.1538,1.6194,1.3302,0.24594,3.3115,1.6996,0.24756,11.448,0.24113,0.063559,1.4004,0.20301,0.24753,0.10413,0.019373,0.037781,0.042854,0.001481,0.015638
2,0.25,0.25,1,42.144,2.6377,1.3625,3.0972,2.7756,0.2199,16.23,1.0135,0.51858,1.0638,0.083816,2.6508,1.3551,0.084936,21.27,0.083026,0.021738,2.7871,0.17401,0.21134,0.088903,0.007079,0.013869,0.09135,0.00058017,0.014302
3,0.25,0.25,1,45.735,1.7528,0.90569,1.3463,3.1088,0.15073,11.911,0.45529,0.23251,0.80676,0.038637,2.0116,1.0261,0.039366,26.349,0.038556,0.010059,3.5685,0.13644,0.16537,0.06957,0.003379,0.0066379,0.12088,0.00028646,0.011568
4,0.25,0.25,1,47.514,1.2981,0.67101,0.73116,3.2855,0.11353,9.2381,0.25173,0.1284,0.63698,0.021635,1.589,0.80961,0.022135,29.185,0.021704,0.0056519,4.0239,0.1097,0.1328,0.055876,0.0019298,0.0037974,0.13876,0.00016667,0.0094583
0,1,0.25,1,-9.67E-17,29.721,3.3069,21.712,-2.41E-17,2.0437,-8.70E-17,26.837,2.986,-2.15E-17,1.8454,-5.37E-17,-5.92E-18,1.8454,2.20E-34,8.2929,0.10266,1.76E-36,-1.33E-17,-3.52E-18,-1.47E-18,0.12689,1.1405,-1.51E-35,0.039211,-8.98E-19
0.25,1,0.25,1,8.5477,24.278,2.7396,14.633,2.1933,1.7327,6.543,18.631,2.0888,1.6686,1.3277,4.1562,0.46188,1.3301,0.73376,5.9311,0.074577,0.37381,1.0609,0.28271,0.11835,0.094875,0.84626,0.04763,0.030192,0.074323
1,1,0.25,1,23.538,14.291,1.6723,5.0738,6.4305,1.1116,11.346,6.8914,0.78884,3.0865,0.5325,7.6918,0.87287,0.53632,6.357,2.3413,0.030732,3.4555,2.0945,0.56993,0.23849,0.041622,0.3636,0.46979,0.014129,0.1598
2,1,0.25,1,31.861,8.4082,1.0141,1.7336,9.0916,0.69763,9.3448,2.463,0.28695,2.6587,0.20161,6.6299,0.76642,0.20427,12.609,0.87567,0.011932,7.1705,1.8882,0.52346,0.21893,0.016873,0.14477,1.0198,0.005995,0.15351
3,1,0.25,1,35.478,5.7522,0.70534,0.80387,10.341,0.49337,7.2151,1.1677,0.1373,2.0984,0.09825,5.2351,0.61142,0.099986,16.201,0.42449,0.0059033,9.42,1.524,0.4269,0.1785,0.0085235,0.072426,1.3697,0.0030984,0.12799
4,1,0.25,1,37.386,4.323,0.5353,0.45147,11.027,0.37792,5.7533,0.66395,0.078473,1.6939,0.056686,4.2275,0.49672,0.057882,18.338,0.2444,0.0034391,10.795,1.2458,0.3511,0.14679,0.0050226,0.042443,1.5892,0.0018497,0.10658
0,2,0.25,1,0,39.34,1.9129,8.4178,0,2.7052,0,23.809,1.1577,0,1.6372,0,0,1.6372,0,16.835,0.039802,0,0,0,0,0.11258,2.3153,0,0.079604,0
0.25,2,0.25,1,5.6318,33.187,1.6582,6.0097,3.2554,2.3643,2.9238,17.292,0.85556,1.6845,1.2291,4.201,0.20446,1.2313,0.35709,12.439,0.030475,0.41103,2.4217,0.28533,0.11878,0.087616,1.7703,0.11831,0.063,0.16919
1,2,0.25,1,16.517,20.966,1.118,2.3977,9.8993,1.6222,5.6339,7.1606,0.36966,3.3687,0.54915,8.4034,0.42721,0.55281,3.3191,5.3478,0.014299,3.9659,5.0277,0.61869,0.25736,0.042594,0.82405,1.185,0.031774,0.38058
2,2,0.25,1,23.381,12.998,0.73024,0.91701,14.378,1.0725,5.0612,2.8122,0.1502,3.1071,0.2283,7.7537,0.40862,0.23096,6.9954,2.1573,0.0061958,8.5841,4.7631,0.60761,0.25258,0.018926,0.3534,2.634,0.014502,0.38369
3,2,0.25,1,26.65,9.1249,0.52758,0.45038,16.603,0.77959,4.0938,1.4001,0.076149,2.5473,0.11701,6.3584,0.34186,0.1188,9.3127,1.0888,0.0032524,11.584,3.9588,0.51524,0.2141,0.010063,0.18427,3.603,0.0078202,0.32978
4,2,0.25,1,28.462,6.9538,0.40902,0.26103,17.865,0.60653,3.352,0.81783,0.044947,2.1019,0.069464,5.2478,0.28555,0.070715,10.769,0.64104,0.0019598,13.501,3.2926,0.43372,0.18019,0.0061077,0.11057,4.232,0.0047864,0.27977
0,3,0.25,1,0,43.564,1.3009,4.1845,0,2.9956,0,19.272,0.57548,0,1.3252,0,0,1.3252,0,22.19,0.019786,0,0,0,0,0.091125,3.0516,0,0.10492,0
0.25,3,0.25,1,4.1233,37.377,1.1539,3.0895,3.8489,2.6594,1.5801,14.378,0.43907,1.4721,1.0205,3.6739,0.10994,1.0221,0.20288,16.73,0.015614,0.37768,3.424,0.24967,0.10346,0.072619,2.3771,0.17581,0.084458,0.23896
1,3,0.25,1,12.513,24.574,0.8204,1.3398,11.942,1.8938,3.243,6.3792,0.20545,3.0908,0.48709,7.7148,0.24385,0.48988,1.9683,7.5947,0.007908,3.7491,7.3556,0.56643,0.23454,0.037573,1.1645,1.7856,0.044681,0.55432
